商品番号,商品名,active,販売価格0（定価）,商品写真（リンク）,広報フレーズ,販売開始時期,WEBサイトに掲載,商品名表記,,,
000010,円周率コースター,Yes（販売可能）,350,https://drive.google.com/file/d/1jA5h3MExASMGArtQn15fc5Qc4lr97AfS/view?usp=sharing,吸水性・耐熱性に優れたコルクに、円周率を109桁までらせん状に印字したコースター。水洗いでき、汚れてもお手入れが簡単。,2016/01/01,はい,,,,
000111,京大トート_くるみなし,Yes（販売可能）,1800,https://drive.google.com/open?id=1cBMupAcLnrmWuKgpL1FMOU9iQvsWNasV&usp=drive_copy,,2022/11/01,はい,京大トート,,,
000300,二進数トランプ,No（販売不可能）,2400,https://drive.google.com/open?id=1CHkHq45TCQY6Uoz5mhIANKmUsmH6ImBI&usp=drive_copy,,2022/11/01,はい,,,,
000410,ありが糖ポチ袋,Yes（販売可能）,350,https://drive.google.com/open?id=1NGTxh-TzYnHWKHz0mzYSqSIYFToXgIJI&usp=drive_copy,,2024/06/30,はい,,,,
000450,七面鳥しおり,Yes（販売可能）,500,https://drive.google.com/open?id=1-k8MoN4y8HiWtO7_a6j3tmD0a6doB9_1&usp=drive_copy,,2024/11/20,はい,,,,
001040,哲学者名言ステッカー,No（販売不可能）,300,https://drive.google.com/open?id=1KVveiUr1nYo3wYSeN9urRYGSabdbe1bT&usp=drive_copy,,2024/11/20,はい,,,,
002030,学問のすゝめガチャ,No（販売不可能）,300,https://drive.google.com/open?id=14oKqj0g7I1PwkKDgqQk5Wgxh7Q1FuWZ-&usp=drive_copy,,2024/11/20,はい,,,,
002040,鴨川の生物ガチャ,No（販売不可能）,300,https://drive.google.com/open?id=1BbXGwqaXIHG1RTW9yuNNZi1QPcb_s6HS&usp=drive_copy,,2024/11/17,はい,,,,
003020,オオサンショウウオ_根付ストラップ,Yes（販売可能）,600,https://drive.google.com/open?id=1N493rMvD-uBKtt1SwQwM9iM9wyVmv1MA&usp=drive_copy,,2023/03/01,はい,オオサンショウウオ,,,
003040,心晴語キーホルダー,Yes（販売可能）,300,,,2023/11/09,はい,,,,
003050,猫は液体キーホルダー,Yes（販売可能）,500,https://drive.google.com/open?id=1m1fv-4ndaeDVH9lDoznReuvsVOXEcX4w&usp=drive_copy,,2024/04/15,はい,,,,
003060,京大変人キーホルダー,Yes（販売可能）,500,https://drive.google.com/open?id=1tuWiQqHBdshMoEpBMKJArXWEM-dSayxR&usp=drive_copy,,2024/09/15,はい,,,,
003080,絶滅危惧種ストラップ,Yes（販売可能）,300,,,2024/11/20,はい,,,,
004040,はにわペンスタンド,Yes（販売可能）,820,https://drive.google.com/open?id=16-COHpKMQXAjcDbp-3I2qT4sr1oI5dfk&usp=drive_copy,,2022/12/01,はい,,,,
004100,一休さんのお箸,Yes（販売可能）,600,,,2024/06/30,はい,,,,
004110,うさぎランプシェード,No（販売不可能）,1200,https://drive.google.com/open?id=1m7B4YEo09yjQFWivTuLr8w39u-yJ1tPj&usp=drive_copy,,2024/10/15,はい,,,,
005010,構造式イヤリング/ピアス_イソフラボン,Yes（販売可能）,1200,https://drive.google.com/open?id=1G6Xa8v5U_RSGOcgyDHyNZ3t3Ea_67oBn&usp=drive_copy,,2022/07/02,はい,構造式イヤリング/ピアス イソフラボン,,,
005011,構造式イヤリング/ピアス_カカオポリフェノール,No（販売不可能）,1200,https://drive.google.com/open?id=1tnC3ryupMXboeZBrbNZZSr95SkaoklNJ&usp=drive_copy,,2023/02/01,はい,構造式イヤリング/ピアス カカオポリフェノール,,,
005030,ベンゼン環イヤリング,No（販売不可能）,1200,https://drive.google.com/open?id=1TOps69VtpDc22MShoj-4OBhuRV5BnTrR&usp=drive_copy,,2024/04/15,はい,ベンゼン環 / クラウンエーテルイヤリング,,,
005050,実数包含イヤリング,Yes（販売可能）,800,https://drive.google.com/open?id=1GaD2r_lCMylJj3CrOpwG8h-l2rWsFHiZ&usp=drive_copy,,2024/06/30,はい,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
009100,koboちゃんスタンプ【京大工房公式】,生産凍結,∞,∞,谷本ほか,タイポグラフィー,,,,,完全外注
